date,new_confirm,suspect
2020/1/20,77,27
2020/1/21,149,53
2020/1/22,131,257
2020/1/23,259,680
2020/1/24,444,1118
2020/1/25,688,1309
2020/1/26,769,3806
2020/1/27,1771,2077
2020/1/28,1459,3248
2020/1/29,1737,4148
2020/1/30,1982,4812
2020/1/31,2102,5019
2020/2/1,2590,4562
2020/2/2,2829,5173
2020/2/3,3235,5072
2020/2/4,3893,3971
2020/2/5,3697,5328
2020/2/6,3143,4833
2020/2/7,3401,4214
2020/2/8,2656,3916
2020/2/9,3062,4008
2020/2/10,2484,3536
2020/2/11,2022,3342
2020/2/12,15153,2807
2020/2/13,5093,2450
2020/2/14,2644,2277
2020/2/15,2009,1918
2020/2/16,2051,1563
2020/2/17,1891,1432
2020/2/18,1751,1185
2020/2/19,820,1277
2020/2/20,892,1614
2020/2/21,399,1361
2020/2/22,649,882
2020/2/23,416,620
2020/2/24,517,530
2020/2/25,411,439
2020/2/26,440,508
2020/2/27,329,452
2020/2/28,430,248
2020/2/29,579,132
2020/3/1,206,141
2020/3/2,128,129
2020/3/3,120,143
2020/3/4,143,143
2020/3/5,145,102
2020/3/6,103,99
2020/3/7,46,84
2020/3/8,45,60
2020/3/9,20,36
2020/3/10,31,31
2020/3/11,25,33
2020/3/12,11,33
2020/3/13,18,17
2020/3/14,27,39
2020/3/15,29,41
2020/3/16,39,45
2020/3/17,35,21
2020/3/18,84,23
2020/3/19,65,31
2020/3/20,116,36
2020/3/21,82,45
2020/3/22,102,47
2020/3/23,147,35
2020/3/24,99,33
2020/3/25,114,58
2020/3/26,118,49
2020/3/27,135,29
2020/3/28,128,28
2020/3/29,106,17
2020/3/30,98,44
2020/3/31,86,26
2020/4/1,93,20
2020/4/2,78,12
2020/4/3,73,11
2020/4/4,55,11
2020/4/5,75,10
2020/4/6,66,12
2020/4/7,86,12
2020/4/8,92,17
2020/4/9,56,3
2020/4/10,64,8
2020/4/11,113,49
2020/4/12,115,6
2020/4/13,99,3
2020/4/14,49,11
2020/4/15,52,4
2020/4/16,27,3
2020/4/17,31,5
2020/4/18,21,2
2020/4/19,36,2
2020/4/20,13,3
2020/4/21,37,3
2020/4/22,15,0
2020/4/23,9,2
2020/4/24,13,3
2020/4/25,14,0
2020/4/26,3,5
2020/4/27,6,1
2020/4/28,22,2
2020/4/29,4,3
2020/4/30,12,3
2020/5/1,3,2
2020/5/2,5,0
2020/5/3,7,1
2020/5/4,4,0
2020/5/5,2,3
2020/5/6,3,2
2020/5/7,6,3
2020/5/8,1,2
2020/5/9,14,1
2020/5/10,20,0
2020/5/11,1,1
2020/5/12,7,1
2020/5/13,6,0
2020/5/14,5,1
2020/5/15,9,2
2020/5/16,5,2
2020/5/17,10,1
2020/5/18,6,1
2020/5/19,5,3
2020/5/20,2,1
2020/5/21,13,1
2020/5/22,2,2
2020/5/23,3,3
2020/5/24,11,0
2020/5/25,7,0
2020/5/26,1,1
2020/5/27,3,0
2020/5/28,0,0
2020/5/29,18,1
2020/5/30,5,0
2020/5/31,18,0
2020/6/1,9,0
2020/6/2,7,1
2020/6/3,1,0
2020/6/4,11,0
2020/6/5,6,1
2020/6/6,9,2
2020/6/7,5,1
2020/6/8,4,0
2020/6/9,3,0
2020/6/10,11,0
2020/6/11,7,0
2020/6/12,11,0
2020/6/13,58,1
2020/6/14,49,1
2020/6/15,45,3
2020/6/16,44,3
2020/6/17,36,3
2020/6/18,37,2
2020/6/19,30,4
2020/6/20,27,3
2020/6/21,21,2
2020/6/22,52,2
2020/6/23,28,4
2020/6/24,21,0
2020/6/25,29,3
2020/6/26,24,1
2020/6/27,18,1
2020/6/28,14,4
2020/6/29,23,1
2020/6/30,5,2
2020/7/1,31,0
2020/7/2,15,1
2020/7/3,9,2
2020/7/4,19,1
2020/7/5,14,0
2020/7/6,25,2
2020/7/7,21,0
2020/7/8,33,0
2020/7/9,46,3
2020/7/10,42,0
2020/7/11,35,0
2020/7/12,46,0
2020/7/13,55,0
2020/7/14,54,0
2020/7/15,20,0
2020/7/16,78,1
2020/7/17,82,1
2020/7/18,80,1
2020/7/19,131,1
2020/7/20,84,0
2020/7/21,74,0
2020/7/22,135,3
2020/7/23,139,1
2020/7/24,160,2
2020/7/25,179,2
2020/7/26,189,0
2020/7/27,217,0
2020/7/28,212,0
2020/7/29,223,1
2020/7/30,276,1
2020/7/31,166,0
2020/8/1,180,0
2020/8/2,158,3
2020/8/3,114,1
2020/8/4,109,0
2020/8/5,122,0
2020/8/6,133,2
2020/8/7,120,5
2020/8/8,92,0
2020/8/9,121,1
2020/8/10,113,2
2020/8/11,61,1
2020/8/12,82,1
2020/8/13,99,2
2020/8/14,70,1
2020/8/15,66,1
2020/8/16,98,2
2020/8/17,67,0
2020/8/18,54,0
2020/8/19,33,0
2020/8/20,40,0
2020/8/21,50,1
2020/8/22,38,2
2020/8/23,41,1
2020/8/24,23,0
2020/8/25,34,0
2020/8/26,32,1
2020/8/27,30,2
2020/8/28,22,0
2020/8/29,28,0
2020/8/30,32,0
2020/8/31,19,0
2020/9/1,20,0
2020/9/2,20,0
2020/9/3,33,0
2020/9/4,23,0
2020/9/5,19,2
2020/9/6,34,0
2020/9/7,22,0
2020/9/8,9,5
2020/9/9,13,0
2020/9/10,28,0
2020/9/11,20,1
2020/9/12,23,0
2020/9/13,29,3
2020/9/14,23,0
2020/9/15,16,0
2020/9/16,19,1
2020/9/17,44,1
2020/9/18,17,1
2020/9/19,26,1
2020/9/20,36,0
2020/9/21,14,0
2020/9/22,18,0
2020/9/23,10,0
2020/9/24,15,1
2020/9/25,18,1
2020/9/26,15,0
2020/9/27,27,0
2020/9/28,25,1
2020/9/29,23,2
2020/9/30,20,3
2020/10/1,21,0
2020/10/2,19,1
2020/10/3,20,3
2020/10/4,25,0
2020/10/5,24,0
2020/10/6,18,0
2020/10/7,24,0
2020/10/8,40,0
2020/10/9,26,0
2020/10/10,27,5
2020/10/11,28,1
2020/10/12,26,0
2020/10/13,29,2
2020/10/14,11,2
2020/10/15,37,1
2020/10/16,24,1
2020/10/17,30,1
2020/10/18,17,0
2020/10/19,39,3
2020/10/20,19,0
2020/10/21,23,2
2020/10/22,33,2
2020/10/23,32,0
2020/10/24,22,1
2020/10/25,26,1
2020/10/26,24,0
2020/10/27,47,0
2020/10/28,49,0
2020/10/29,31,6
2020/10/30,41,2
2020/10/31,28,0
2020/11/1,34,1
2020/11/2,60,2
2020/11/3,30,1
2020/11/4,32,3
2020/11/5,44,23
2020/11/6,43,0
2020/11/7,31,4
2020/11/8,47,1
2020/11/9,29,0
2020/11/10,28,0
2020/11/11,37,1
2020/11/12,36,0
2020/11/13,32,0
2020/11/14,24,1
2020/11/15,24,1
2020/11/16,24,0
2020/11/17,14,0
2020/11/18,23,0
2020/11/19,31,1
2020/11/20,44,0
2020/11/21,60,0
2020/11/22,85,0
2020/11/23,96,1
